risk_class,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
Moderate,65978,31849,0,23.8183862170117,23.8183862170117,183355.813640138,2.77904473673252,0.794905878543252,4.80845484025174,1.18521916991907e-07,0,0.0310761935268029,2.86724810278925,2.83617190926245
High,248824,109580,0,25.167267027814,25.167267027814,1383403.04839405,5.55976532968703,4.68941345521655,5.71943145224758,5.11016854876314e-08,0,0.0344563093903976,8.02647232080434,7.99201601141394
Low,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Very High,73,1,0,0,0,0,0,0,0,0,0,0,0,0
